SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,TechSupport,PaperlessBilling,MonthlyCharges,Contract_Risk,PaymentMethod_Electronic check,PaymentMethod_Mailed check,PaymentMethod_Automatic,Churn
0,1,0,1,1,0,0,1,29.85,2,1,0,0,0
0,0,0,34,1,1,0,0,56.95,1,0,1,0,0
0,0,0,2,1,1,0,1,53.85,2,0,1,0,1
0,0,0,45,1,1,1,0,42.3,1,0,0,1,0
0,0,0,2,2,0,0,1,70.7,2,1,0,0,1
0,0,0,8,2,0,0,1,99.65,2,1,0,0,1
0,0,1,22,2,0,0,1,89.1,2,0,0,1,0
0,0,0,10,1,1,0,0,29.75,2,0,1,0,0
0,1,0,28,2,0,1,1,104.8,2,1,0,0,1
0,0,1,62,1,1,0,0,56.15,1,0,0,1,0
0,1,1,13,1,1,0,1,49.95,2,0,1,0,0
0,0,0,16,0,0,0,0,18.95,0,0,0,1,0
0,1,0,58,2,0,0,0,100.35,1,0,0,1,0
0,0,0,49,2,0,0,1,103.7,2,0,0,1,1
0,0,0,25,2,1,1,1,105.5,2,1,0,0,0
0,1,1,69,2,1,1,0,113.25,0,0,0,1,0
0,0,0,52,0,0,0,0,20.65,1,0,1,0,0
0,0,1,71,2,1,0,0,106.7,0,0,0,1,0
0,1,1,10,1,0,1,0,55.2,2,0,0,1,1
0,0,0,21,2,0,0,1,90.05,2,1,0,0,0
1,0,0,1,1,0,0,1,39.65,2,1,0,0,1
0,1,0,12,0,0,0,0,19.8,1,0,0,1,0
0,0,0,1,0,0,0,0,20.15,2,0,1,0,1
0,1,0,58,1,0,1,1,59.9,0,0,0,1,0
0,1,1,49,1,1,1,0,59.6,2,0,0,1,0
0,0,0,30,1,1,0,1,55.3,2,0,0,1,0
0,1,1,47,2,0,0,1,99.35,2,1,0,0,1
0,1,1,1,1,0,0,0,30.2,2,1,0,0,1
0,1,0,72,1,1,1,1,90.25,0,0,0,1,0
0,0,1,17,1,0,0,1,64.7,2,0,1,0,1
1,1,0,71,2,1,1,1,96.35,0,0,0,1,0
1,1,0,2,2,0,0,1,95.5,2,0,0,1,0
0,1,1,27,1,1,1,0,66.15,1,0,1,0,0
0,0,0,1,0,0,0,0,20.2,2,0,0,1,0
1,0,0,1,1,0,0,0,45.25,2,0,0,1,0
0,1,1,72,2,1,1,0,99.9,0,0,0,1,0
0,0,0,5,2,0,0,1,69.7,2,1,0,0,1
0,0,0,46,2,0,0,1,74.8,2,0,0,1,0
0,0,0,34,2,0,0,1,106.35,2,1,0,0,1
0,0,0,11,2,0,0,1,97.85,2,0,0,1,1
0,1,1,10,1,0,0,0,49.55,1,0,1,0,0
0,1,1,70,1,1,0,1,69.2,0,0,0,1,0
0,1,1,17,0,0,0,0,20.75,1,0,1,0,0
0,0,0,63,1,1,1,1,79.85,0,0,0,1,0
0,1,0,13,1,1,1,1,76.2,2,1,0,0,0
0,0,0,49,2,0,0,1,84.5,2,1,0,0,0
0,0,0,2,1,0,0,0,49.25,2,0,1,0,0
0,0,0,2,2,0,0,1,80.65,2,1,0,0,1
0,0,0,52,1,1,1,1,79.75,0,0,0,1,0
0,1,1,69,1,1,1,1,64.15,0,0,0,1,0
1,0,0,43,2,0,0,1,90.25,2,1,0,0,0
0,0,0,15,2,1,0,1,99.1,2,0,0,1,1
1,1,0,25,1,1,1,1,69.5,2,0,0,1,0
1,1,0,8,2,0,0,1,80.65,2,0,0,1,1
1,1,1,60,1,1,1,1,74.85,1,0,0,1,0
1,0,0,18,2,0,0,1,95.45,2,1,0,0,1
0,1,1,63,2,1,0,1,99.65,1,0,0,1,0
1,1,1,66,2,0,1,1,108.45,1,1,0,0,0
0,1,1,34,0,0,0,0,24.95,0,0,0,1,0
0,0,0,72,2,0,1,1,107.5,0,0,0,1,0
0,1,0,47,2,0,0,1,100.5,2,1,0,0,0
0,0,0,60,2,0,0,1,89.9,2,0,0,1,0
0,1,0,72,1,1,0,0,42.1,0,0,0,1,0
0,1,1,18,1,0,1,1,54.4,1,0,0,1,0
0,0,0,9,2,0,0,0,94.4,2,1,0,0,1
0,0,0,3,1,0,1,1,75.3,2,1,0,0,0
0,1,0,47,2,0,0,1,78.9,1,1,0,0,0
0,0,0,31,1,0,1,0,79.2,0,0,1,0,0
0,1,1,50,0,0,0,0,20.15,0,0,0,1,0
0,0,0,10,2,1,0,1,79.85,2,0,1,0,0
0,0,0,1,1,0,1,0,49.05,2,0,1,0,0
0,1,1,52,0,0,0,1,20.4,1,1,0,0,0
1,1,1,64,2,1,1,1,111.6,0,0,0,1,0
0,1,1,62,0,0,0,1,24.25,0,0,0,1,0
0,0,1,3,1,1,1,1,64.5,2,0,0,1,0
1,0,0,56,2,1,0,0,110.5,1,1,0,0,0
0,0,0,46,1,0,0,0,55.65,1,0,0,1,0
0,1,1,8,1,1,0,0,54.65,2,0,1,0,0
1,0,0,30,1,1,0,1,74.75,2,1,0,0,0
0,1,1,45,0,0,0,1,25.9,1,0,0,1,0
0,0,1,1,2,0,0,1,79.35,2,1,0,0,1
0,1,1,11,1,1,0,0,50.55,2,1,0,0,0
